question,type
What is the admission process?,admission
How to apply for admission?,admission
What are the eligibility criteria?,admission
Is LPUNEST required?,admission
How can I get admission in LPU?,admission
What documents are required for admission?,admission
Tell me the admission procedure.,admission
What is the fee for BTech?,fees
How much is the semester fee?,fees
What is the hostel fee?,fees
Tell me the fee structure.,fees
How much is the admission fee?,fees
What is the total course fee?,fees
What are the hostel charges?,fees
What courses are available?,courses
List all the programs offered.,courses
Does LPU offer BTech?,courses
What are the available streams?,courses
Tell me about the available courses.,courses
Does LPU provide MBA?,courses
Which programs can I apply for?,courses
Does LPU provide hostel facilities?,hostel
Is hostel available for boys?,hostel
Tell me about hostel rules.,hostel
Is AC hostel available?,hostel
What is the hostel capacity?,hostel
Are hostels compulsory?,hostel
What are the hostel timings?,hostel
What are the placement statistics?,placements
How are the placements in LPU?,placements
Does LPU provide placement support?,placements
What is the average package?,placements
How many companies visit for placements?,placements
Tell me about the placement record.,placements
Does LPU guarantee placements?,placements
